post_link,post_copy,post_date,likes,comments,shares,has_media,media_type,media_url
https://www.linkedin.com/feed/update/urn:li:activity:7388600933934546944/,"This is personal, but then again healthcare is personal. Yesterday, I spent 9 hours in the ER at one of Florida's ""best"" hospitals. As someone who's spent 16 years in healthcare technology, what I witnessed wasn't a tech problem but instead a complete operational failure. My view from the hallway (yes, my entire ""room"" for the night): - An 80-year-old car accident victim in a neck brace, crying for hours under fluorescent lights, unable to move while staff walked by - A man getting an abdominal ultrasound for internal bleeding with zero privacy - Me, with complex endometriosis and diverticulosis, experiencing severe pain, unable to breathe deeply, walk, or function Oh, and my face? That was me around 10pm, still haven't been given fluids or anything for pain after 5 hours even though my primary complaint was inability to urinate, lower back pain and unable to take a deep breath. This is the face of disappointment and lost hope. Here were some of the observations that made: - ""Transport people"" shuttling patients between departments for every single test (ultrasound, CT, blood work), then back to our hallway corners - Patient care technicians randomly checking vitals to stay busy - Nurses discussing their ""grossest cases"" within earshot, someone didn't move from their chairs for hours even though I know they had patients in the hallway - Medical supplies scattered everywhere - The ONE person offering blankets? A transport worker—not clinically trained, just human After 7 hours and every test imaginable, a resident appeared to lecture me about birth control (I've had a hysterectomy) and offered 15 minutes of pain relief with morphine. When a butterfly rash formed across my face, they shrugged it off. My husband runs operations. I consult organizations on their growth strategy. We both see waste and inefficiency for a living. But this wasn't resource scarcity. I counted dozens of staff standing around. This was pure operational incompetence. The nurse told me they'd been treating patients in hallways for a year. They've raised concerns. Administration's response? Convert a neighboring department into another ER hallway ""pod"" while building a shiny new outpatient tower. We keep throwing technology at healthcare like it's fairy dust. AI this, digital transformation that. But you can't digitize empathy. You can't automate operational basics. And you sure as hell can't tech your way out of administrators who think hallway medicine is acceptable. I woke up today exhausted, still in pain, inflammation out of control with no answers—just deeper cynicism about a system that would rather build monuments than fix foundations. To every healthcare exec reading this: Before you approve another tech vendor or ribbon-cutting, maybe spend 8 hours in your own ER hallway. Not in scrubs with a badge—as a patient. The transport worker with the blankets understood something your KPIs miss: patients are humans, not throughput metrics.",10h,1336,239,61,Yes,image,https://media.licdn.com/dms/image/v2/D5622AQFEmVtBiaJRqQ/feedshare-shrink_800/B56ZomVYipIYAg-/0/1761579734167?e=1762992000&v=beta&t=jDQS2T3henGymwqaLy-Xb4NtLw02D-DqNwIFjr4Ydh4
https://www.linkedin.com/feed/update/urn:li:activity:7387966857879760896/,"I’ve been open about my battle with stage 4 endometriosis. It’s not glamorous. It’s not “inspiring.” It’s a daily negotiation with pain. Lately, that pain has expanded beyond my pelvic region. Thoracic endo now presses against my diaphragm and lungs—tightness, stabbing pain in my right shoulder, shortness of breath so bad it hurts to breathe deeply. Add arthritis-like pain, chronic fatigue, recurring bladder infections, night sweats, and nausea that feels like food poisoning on repeat. Yesterday, I woke up with one of the worst flare-ups I’ve had. Normally, I manage with 100mg of tramadol, heat pads, broth, and water. But this time felt different. It hurt to stand. It hurt to sit. My body waved a white flag. I pushed through client calls, then slept 12 hours. Woke up worse—barely able to get out of bed without help. The traditional route (which I’ve taken more times than I can count) would have been the ER. Instead, I turned to my concierge primary care provider, Rachel Shelley Dhani, MD CAQSM —the person I now pay out of pocket because I got tired of being another chart number. I sent her my full medical history, labs, and imaging—all the data that’s been passed between specialists for years. Here’s what she found: My MRI from a month ago shows a severe case of diverticulosis. It’s been sitting there, unaddressed. Missed by every OB, GI, rheumatologist, and thoracic surgeon who has “reviewed” my file. Not one caught it. Not one mentioned it. Because each was only looking for their thing. This is the failure of our healthcare system in one patient story. A system built on specialization over integration, transaction over investigation, documentation over discernment. Now, my new care plan actually involves collaboration—distinguishing what belongs to endo vs. diverticulosis, harmonizing treatments, and building a lifestyle plan that treats me, not just my conditions. That’s what care should look like. It shouldn’t take privilege, persistence, or concierge care to get it. And this is why millions voted for the promise of MAHA—Make America Healthy Again. Not because we believe in quacks. Not because we reject vaccines or science. But because we’re exhausted. Exhausted by a system that’s reactive, fragmented, and obsessed with billing codes over human outcomes. If we want to fix healthcare, it has to start with philosophy first. Then policy and incentives. Then—and only then—comes the technology. Right now, we keep slapping “tech-enabled” and “AI-powered” on processes that are fundamentally broken. All we’re doing is automating dysfunction. This is why I keep working in healthcare. Because the system doesn’t need another app. It needs a new operating model. And yes—I’ll be fine. God wouldn’t hand me pain I couldn’t handle. I don’t let a little pain get in the way of the impact I plan to make—in this world, or in healthcare.",2d,53,7,1,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7386884733109956608/,"Let’s get this out of the way first. Yes, I know posts formatted like this look “AI-generated.” But LinkedIn ’s algorithm doesn’t care about your aesthetic preferences—it cares about readability. Short lines. White space. Rhythm. If you want your content to carry, this is the price. And to the faceless accounts (mostly older men, for some reason) who keep messaging to tell me my writing is “awful” or “the writing of a 7yo,"" Scroll on. DM harassment over syntax is… not the power move you think it is. (Yes, I have no issue sharing screen shots of those that are currently harassing me in the DMs, many of them CEOs nonetheless). Now, onto.... HLTH Inc. The show was glossy, loud, ambitious. But if we’re being honest, it’s having an identity crisis. Who is this conference really for? Investors? Founders chasing Series B? Enterprise vendors? When you try to serve everyone, you serve no one particularly well. AI was everywhere—on booths, on badges, on every other tagline. But the messaging? Generic, soulless, clearly AI-written with zero human edit. We’re leaning so hard into artificial intelligence that we’re losing authentic intelligence. The sessions I did attend were fantastic. Thoughtful, current, well-moderated. The real shame? Half-empty rooms. It felt like people came to deal, not to learn. But the overwhelming sentiment was that deal's were not happening during the day, but at private events at night. One major highlight: the Women’s Startup Pitch. Substance over buzzwords. Founders, pitching for 5 minutes to investors ""shark tank"" style. Talk about pressure. Founders from Veera Health , Incora Health , and Maman Biomedical bringing actual innovation, not vaporware. Let's elevate them more, not in a small room, towards the end of the day, focused on women only. We don't need our own room, we just want a seat at the main table... aka THE MAIN STAGE. Now, the logistics: Healthy eating is fine in theory, but by 4pm, coast-to-coast travelers needed something heartier than quinoa. Fed people are engaged people. Hangry people are not. (Shoutout to the CHIME booth for the Coke Zero mercy rescue and the great discussion on how I can ensure my clients are plugged into the CHIME ecosystem). HLTH used to feel like rebellion—the new kid breaking rules. This year, it felt like it was trying to re-create that energy instead of re-inventing it. Still, I want to acknowledge the HLTH team. Running an event of this scale is brutal, and the production value was exceptional. My critique isn’t about effort, it’s about evolution. The market’s ripe for something new. Until then, I’ll keep coming back. Because despite the noise, HLTH still draws the sharpest minds, boldest founders, and some of my favorite people in healthcare. My favorite interactions? Seeing my old colleagues from Cerner, Optum Butterfly, new clients and reading through all of the taglines in my last post 😎",5d,64,12,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7386453663814430720/,Well now I’m determined to find the top 3 taglines at HLTH Inc. today 😂,6d,39,5,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7386152156740886528/,"Every booth at HLTH Inc. sounds exactly the same. ""AI-powered platform for healthcare transformation."" Cool. So is literally everyone else here. I just walked the expo floor and collected actual taglines: ""Reimagining healthcare with generative AI."" ""AI agents for care delivery across the continuum."" ""Transform enterprise planning for healthcare organizations."" ""Intelligent care. Delivered."" I literally cannot tell you what any of these companies do. When you're raising capital or chasing partnerships, you think vague sounds visionary. It doesn't. It sounds scared. Scared to be specific. Scared to pick a lane. Scared someone might realize you're not for them. What actually happens when you hide in the sea of sameness: → Nobody remembers you → Nobody knows who to refer you to → Your booth traffic is a parade of ""tell me what you do"" conversations that go nowhere What if your tagline actually said what you do? Instead of: ""AI-powered care coordination platform"" Try: ""We stop nursing homes from sending people to the ER at 2am"" Instead of: ""Quality-driven solutions for value-based care"" Try: ""We help kidney doctors get paid on time by payers who hate them"" Instead of: ""Transforming patient engagement with intelligent workflows"" Try: ""We get patients to actually show up for their colonoscopy"" The challenge: Describe what you do in 10 words or less. No ""coordination."" No ""quality."" No ""AI."" No ""efficiency."" Just the problem you solve and who you solve it for. I'll go first: Health Tech House: We get health tech founders unstuck when growth stalls or hasn't started. Your turn. Drop your real tagline in the comments. (And if you can't do it without those four words, your messaging is the problem—not your product.) hashtag # HLTH2025 hashtag # HealthTech hashtag # GoToMarket hashtag # Messaging",1w,1699,399,37,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7386121700389838848/,"I'm a capitalist. I'm also a Christian. Those two things can—and should—coexist when we talk about healthcare. Fully expecting to be roasted on this by Matthew Holt . Bring it, friend 😎 I don’t want anyone turned away from care. But socialized medicine isn’t the answer. Access, affordability, and quality are three different problems that get lumped together under “Medicare for All.” It’s intellectually lazy and ignores how the system actually works. When the ACA passed, we pooled the sick and the healthy. It gave access, yes - but made premiums skyrocket for the healthier population. We pretended it wouldn’t. It did. The deception ran deeper. Meaningful Use promised interoperability and connected records. Instead, we’re still faxing. And “if you like your plan, you can keep it”? Also a lie. Let’s say it out loud: the ACA was one of the worst policies ever forced through. Not because expanding access is wrong - but because execution ignored basic economics, enriched middlemen, and created more problems than it solved. Pharma lobbies Washington for profit. Full stop. PBMs drive up drug prices under “admin overhead.” Eliminate them. Point blank, period. Payers shouldn't be dictating care with their Big Brother prior authorization process that is corrupt, unethical, and completely out of control. Physicians are spending hours fighting 97-year-old podiatrists reviewing cardiac procedures. It's not about care—it's about keeping premiums longer to earn time value of money. Physicians need the opportunity to run hospitals again. Remember Physician Hospital Organizations (PHOs)? We need that model back—where clinical expertise drives operations, not MBA administrators optimizing for quarterly earnings. We need representatives who actually know healthcare - not politicians parroting lobbyists. We need to stop pushing for systems from countries one-tenth our size. (Bernie and AOC). And we need to face the truth which is our lifestyle crisis is a healthcare crisis. You can’t innovate your way out of a Big Mac. I believe in a market-driven system that doesn’t leave people to die in the streets. Those aren’t opposing views. That requires: 1️⃣ Pricing transparency (Cost Plus Drugs is showing the way) 2️⃣ Real competition without middlemen 3️⃣ Clinical and AI governance by providers 4️⃣ Personal responsibility and more consumer education for preventable disease 5️⃣ Policy expertise over partisan noise Our system isn’t capitalism. It’s crony capitalism - where incumbents write rules, lobbyists write laws, and patients pay the bill. True free-market healthcare would terrify every PBM, payer, and pharma exec in the room. Which is exactly why we should pursue it. This is also exactly why they won't let it happen.",1w,59,17,4,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7386093726663725056/,"Let's be honest about what HLTH really is. It's not where you close deals with providers or health systems. HLTH Inc. is where health tech comes to see and be seen—by peers, investors, and potential acquirers. It's LinkedIn made physical. And there's nothing wrong with that, as long as we're honest about it. But Sunday's opening sessions exposed the fundamental contradictions healthcare continues to ignore. 𝐓𝐡𝐞 𝐏𝐡𝐚𝐫𝐦𝐚-𝐭𝐨-𝐏𝐁𝐌 𝐖𝐡𝐢𝐩𝐥𝐚𝐬𝐡 The day opened with pharma's impassioned plea led by Eli Lilly and Company and Rob Lowe (why? nobody knows): we need more people in clinical trials. Only 7% of cancer patients participate, creating massive bottlenecks in bringing life-saving medications to market. Valid. Important. Necessary. Then we immediately pivoted to Mark Cuban systematically eviscerating the entire pharmaceutical supply chain—demolishing the economic model that forces patients on ACA Silver plans to pay $606/month for seven months straight for a drug that costs manufacturers $200 after rebates. The cognitive dissonance was deafening. In one breath, we're asking patients to trust pharma enough to join clinical trials. In the next, we're acknowledging the industry's pricing mechanisms are designed to extract maximum value from those same patients. 𝐓𝐡𝐞 𝐂𝐞𝐥𝐞𝐛𝐫𝐢𝐭𝐲 𝐄𝐱𝐩𝐞𝐫𝐭 𝐏𝐫𝐨𝐛𝐥𝐞𝐦 Mark Cuban is doing important work with Cost Plus Drugs. His transparency model is forcing overdue conversations. But out of every brilliant healthcare operator who lives in the trenches of this industry every single day, HLTH brought on a Gen Z podcaster (not healthcare related)—by his own admission—was studying terminology the night before. Healthcare conferences increasingly platform celebrity voices over subject matter experts. We prize buzz over insight. 𝐖𝐡𝐚𝐭 𝐈'𝐦 𝐀𝐜𝐭𝐮𝐚𝐥𝐥𝐲 𝐇𝐞𝐫𝐞 𝐅𝐨𝐫 Despite my cynicism (or maybe because of it), I'm energized: ✅ The AI Sessions: Even though navigating between overlapping sessions in heels is its own cardio workout. ✅ The Conversations: Reconnecting with operators who understand the difference between a buyer persona and an actual buyer. ✅ GTM Strategy: Talking with organizations about their 2026 roadmap. The founders ready to stop guessing and start executing. ✅ Launching Something New (tomorrow): A program for executives who want to master AI in their workflow before mandating company-wide initiatives. HLTH Inc. reflects where healthcare wants to be: innovative, patient-centered, transparent. Sunday's programming revealed where we are: platforming celebrity over expertise, prioritizing optics over outcomes, asking patients to trust systems we openly acknowledge are broken. Are we building innovation for the system we have, or the system we wish existed? Because right now, we're trying to do both. And patients are paying the price—$606 per month, seven months straight, while we debate which voice gets the microphone.",1w,170,24,2,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQFvHN4ZBaYgcQ/feedshare-shrink_800/B4EZoCtE_MGoAk-/0/1760981969423?e=1762992000&v=beta&t=zIB0bihgMNLupW2lUapiY8d0n6nIUI8f9b4zOJN5DCo
https://www.linkedin.com/feed/update/urn:li:activity:7385624172204560384/,Ok. Who is traveling to HLTH Inc. today? What’s on your “walking through the airport” playlist? Everyone has one. Here is a sample of mine: Lil Wayne Anything Hans Zimmer Taylor’s new album or Rep The NF Chainsmokers Jason Aldean Labrinth Kris Bowers Steve Aoki,1w,14,5,0,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQF0Ekc1gGIsnA/feedshare-shrink_2048_1536/B4EZn8CC6iKwA4-/0/1760870020083?e=1762992000&v=beta&t=bInoRO2gnjUE8qwkWut4LbCxcQ2z0hqqeveehf7mK6w
https://www.linkedin.com/feed/update/urn:li:activity:7384551357283717120/,"""We're using AI for sales emails, marketing copy, even lead scoring... but our pipeline is slower than ever."" I asked one question: ""Can you tell me, in real-time, which messaging is converting—and why?"" Silence. Six AI tools. Zero visibility into what's actually working. Here's the truth: AI doesn't fix your GTM. It amplifies it. If your GTM engine has friction, AI just helps you fail faster. The real bottlenecks aren't in your tech stack. They're in your handoffs. Map your full GTM flow: → Awareness → Interest (Marketing) → Interest → Engagement (SDR/BDR) → Engagement → Qualified Opp (AE) → Opp → Closed-Won (Sales + SE) → Customer → Activated (CS) At each transition, ask: 1. Where do prospects drop off? 2. Where does context get lost? 3. Where do teams duplicate work? 4. Where do decisions slow down? The fix: AI-generated handoff brief (auto-created from SDR calls, enriched with market intel, one-pager to the AE). Before you add another AI tool, fix the friction points first. Where does your GTM flow actually stall?",1w,24,1,1,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7384279567919763456/,"Your sales team spends 8 hours per week chasing internal approvals for deals. Doesn't sound that bad, right? Here's the math: → 8 hours/week = 416 hours/year per rep → At $150K OTE = ~$30K in lost selling time per person → For a 10-rep team = $300K/year in hidden friction costs And that's just ONE bottleneck. Most teams have 5-10 of these hiding in plain sight. The problem isn't that you need more AI tools. It's that you haven't found the real inefficiencies yet. Here's what works: Map your 3 most critical workflows (the messy reality, not the idealized version) Ask: Where do handoffs break? Where does context get lost? What requires ""tribal knowledge""? Measure the actual cost: time, delays, errors, cognitive drain Then ask: ""Could AI handle the repetitive parts so humans focus on judgment?"" That's your first automation target.",1w,7,2,0,No,,
